message,award_title,recipient_title,nominator_title
"Sophie, I want to recognise you for your incredible curiosity, energy, and eagerness to learn. In just two hours with you, I could clearly see your drive to understand every detail and get things right the first time. You're genuinely impressive, and I'm excited to see how successful you're going to be. You're already on such a strong path — keep shining! 💫",Welcome to the French Team! 🥐,Customer Service Executive,Customer Service Executive
"Taylor & Jordan, thank you so much for taking some time out of your very busy schedules to put together a resume ranker prototype to help filter through the extremely high volume of applicants we have received for the NLP Data Scientist opening. I am so impressed with its capabilities and it has already saved me SO much time I would have spent manually parsing through resumes. Your resourcefulness and willingness to approach this hire as a team truly makes all the difference. I have screens scheduled with the highest ranking applicants already and am excited to see how this will enhance our pipeline.",Ingenuity + Teamwork!,"Senior Manager, Machine Learning Engineering",Senior Recruitment Partner
Thanks for your work on business topics and congratulations on delivering your first production model!,Corporate Topic Deliverable,Senior NLP Data Scientist,"Senior Manager, Machine Learning Engineering"
"Thank you for your work on competency analysis v3! Thanks to your efforts we added tons more skills, the ability to customize taxonomies, and improved the experience on the AI Assistant. Kudos!",Soft Skills v3,Senior Research Scientist,"Senior Manager, Machine Learning Engineering"
"Alex - You have take the manager role to a whole new level. Your level of commitment is outstanding. I feel like you listen and take action. Besides all the tasks at work, you're back in school crushing exams, papers and reading 300 pages a day. LOL. I just want to thank you for all you do.",Thank you,"Manager, E-Commerce Store Engagement",Project Manager - E-Commerce
"Hi Morgan I just wanted to personally thank you for the incredible thoughtfulness you bring to everything you do. From organizing our team night out at the local pub to the games and every detail of our team events, you create experiences with such care, intention, and flawless execution. What truly makes you special is how you think about each and every one of us. You personalize little surprises in a way that makes everyone feel valued. This morning was totally unexpected and that is just one beautiful example—so thoughtful, and so ""you."" You outdo yourself every single time, and because of that, you make our workplace warmer, happier, and more connected. I'm genuinely grateful for you and everything you pour into our team. Thank you for being the heart behind it all.",To the Heart Behind Every HX Moment,Workplace Experience Events Specialist,Senior HRIS Analyst
"Ryan, on behalf of Regional Bank launch team (Jennifer Martinez, Katie Chen, and me), thank you for answering initial questions on Content Advisor and then going above and beyond to run an analysis looking at usage across our Banking and Finance industry clients. We had a scenario where the client's program team wanted to enable it, but they had to make the case to convince their internal leadership stakeholders to do so. You kept me posted on the progress, and as a result of your stats, I was able to share them with Regional Bank to help bolster the decision to move forward with the feature. I appreciate the partnership and extra help for the customer to turn on something we both know will be of a huge benefit to their employees. (PS. I used Content Advisor on this message as well!)",Thank you for your NLP expertise!,Associate Engineer - NLP,Principal Consultant
"Sarah, a huge Commerce thank you for your support during your secondment with the gift card sourcing team. During your time, you mastered market research, tackled outreach in tricky markets and came up with some great assortment solutions for some of our key client asks. I hope the skills and insights you've developed here continue to support you in your future and we all wish you ongoing success in your career.",Thank you!,Gift Cards Coordinator,"Director, Global Sourcing"
"Alex, I have successfully completed the Process Builder and Workflow Rule migration project with your help, which included 35+ legacy processes migrated to new CRM flows. I would like to express my sincere appreciation for your support in completing this work, as well as for creating the permission sets required for the GTM Operations role. Your timely help has been truly invaluable. Thank you again for your continued support and collaboration.",Thank you for your collaboration,GTM Technology Operations Manager,Salesforce Application Administrator
"David, thank you for pulling the video platform benchmarks and sharing such thoughtful feedback on the industry videos! The performance breakdown and your perspective on what's working (and what isn't) were incredibly helpful as we rethink the content strategy for the refreshed ABM microsites. Really appreciate you taking the time to go deeper than I even asked, it made a big difference! Thanks again for the partnership and for always being so generous with your expertise.",Video Insights & Benchmarks,"Director, Video Studio",Account Based Marketing Manager
"I wanted to take a second and thank the two of you for the work you put into testing each award for each country for the launch of Phoenix Corp's Elevate and Elevate Cash programs. This was the last step in a long process, but providing them with a comprehensive payroll file was a momentous milestone in the project. You each brought your A-game to this ask and were able to assist in delivering it in record time.","Testing, Testing, 1, 2, or should I say 691",Technical Services Specialist II,"Associate Manager, Technical Services"
"Hey Folks! I just wanted to take a quick moment to thank each of you for looking after my tasks while I was away. Matt, you stepped in to solve an issue with Energy Solutions whereby employees could not nominate for monetary awards. Ryan, you stepped in and looked after Aerospace Industries' text update requests. Jason, you looked after many of my reports, predominantly for Phoenix Corp. Knowing I work on such an excellent team really helps me to switch off and I was able to enjoy my trip. Thank you all!",AL Cover,Technical Services Specialist II,Technical Services Specialist II
"Thank you Emma, for all of your help, support, and hard work since I joined the team. From day one, you've been someone who was kind to step in, share your knowledge and offer support whenever it was needed. You played such an important role in closing out client requests in some of our toughest markets and you handled the client scoring file with patience and diligence, even though it was an incredibly tedious and time-consuming task. You've been a genuinely wonderful part of the team—collaborative, supportive, and overall so helpful. I've really enjoyed working with you! Wishing you all the very best for the future.",Celebrating Your Contributions 👏🏻,Gift Cards Coordinator,Senior Category Management Specialist
"Dear Leaders, I'd like to sincerely thank you for your outstanding leadership during this first wave of peak. Even though it was a smooth one, you were fully present for both our clients and our agents every step of the way. Your kindness, dedication, and genuine care in ensuring everything runs smoothly are truly commendable. The attention you give to every single detail does not go unnoticed. In this season of gratitude, I want to express my deepest appreciation for having you lead the team. Thank you for all that you do.",Looking after everyone,"Team Leader, Customer Service Operations","Manager, Customer Service Operations"
"Dear team, I want to take a moment to thank each of you for your outstanding work throughout the Thanksgiving and Black Friday period. You have demonstrated exceptional dedication, patience, and teamwork at every turn. As we move into an even busier stretch, please know that your efforts are truly seen and deeply appreciated. You continue to set the bar for what great customer service looks like. Your dedication and teamwork truly make a difference, and I'm incredibly grateful to have each of you as part of this team.","Celebrating your hard work, excellence & teamwork",Customer Service Executive,"Team Leader, Customer Service Operations"
Tremendous work in your personalized outreach to Stellar Technologies. Absolutely loved how you emailed and connected with the Head of HR on LinkedIn – then used past experiences at TechSolutions clients + following us on LinkedIn to write a phenomenal email then chased down for a reply on LI direct messaging. Great way to connect with HR leaders for meetings. Nice work!,Working the channels with personalization,Business Development Representative,"Manager, Business Development"
"Hi Rachel, I just wanted to take a moment to thank you for being my go-to person for any difficult query. You're my walking knowledge base — always happy, approachable, and willing to review cases and provide the right advice. I truly appreciate your support and guidance — it makes handling challenging situations so much easier and ensures we're providing the best service possible. Thank you for always being there!",Walking KA and Lifesaver!,Customer Service Learning & Development Specialist,Senior Customer Service Executive
"Jessica, thank you so much for taking the time and effort to drop a surprise on each of our desks this morning. Each gift was so thoughtful and personal to the person receiving it. It was such a lovely surprise and definitely has kicked off all of the Christmas feels and festivities in the office! Doing something like this takes so much time, creativity and thoughtfulness, from choosing the personal items, to organising and delivering them to each desk ! Thank you again, you certainly put a smile on my face this morning!",Moments that Matter,Workplace Experience Events Specialist,Senior Employer Brand Manager
"Marcus, thank you for your cooperation on the New Bank set up in our ERP system. You kindly shared information with me around the process and communication with Finance. It took a while to gather all required info and create a test case for future to understand what is needed. Thanks for your help!",New Bank creation,Senior Support Engineer- BOS,Functional QA Engineer- BOS
"Kevin, I would like to thank you for all the tips you shared with me yesterday regarding the Global Healthcare retirement access. With just a few minutes of your time, I was able to learn more about this, review my previous access, and understand how to proceed. Thank you so much for sharing your knowledge!",J&J Pro Tips!,Senior Customer Service Executive,Customer Service Executive
"Thanks Michael for going through the effort to organize a team bonding evening. It was nice to catchup with the team after such a long time, appreciate you making the effort to bring us all together.",Team Bonding,"Associate Manager, Infrastructure",Data Infrastructure Intern
"Tyler, I just wanted to take a moment to thank you for all your hard work while I was out sick. You kept everything running smoothly, and it was truly appreciated. Not only did you stay on top of everything, but you also stepped up and represented Indirect AP on multiple calls for onboarding the new EOR vendor. I essentially missed the entire process, and you were thrown in at the deep end—yet you still managed to support it successfully and provide valuable feedback from AP's perspective. It's great to know I have such a solid colleague to rely on when it really counts. Thank you so much.",Unexpectedly on leave,Senior Accounts Payable Specialist,Lead Accounts Payable Specialist
"Sophie, I just wanted to take a moment to thank you for all the great collaboration we've had, especially in onboarding new suppliers. Your positive attitude, teamwork spirit, and willingness to go the extra mile made a real difference. It's been inspiring to see your growth and development, and I'm excited to see all the great things you'll achieve. Wishing you continued success in this next chapter!",Wishing you success! <3,Gift Cards Coordinator,Associate Buyer
"Victoria, I want to sincerely thank you for your exceptional leadership, strategic thinking, and unwavering support. You've been such an inspiring mentor, always providing guidance, trust, and opportunities that have helped me grow professionally. Your approachability, insight, and encouragement have made a lasting impact on me, and I'm truly grateful for the privilege of learning from you during my time in eCommerce.Xx",Thank You for Helping Me Grow,"Associate Manager, Sourcing",Gift Cards Coordinator
"Congratulations to Amy and Laura for their outstanding collaboration on the successful onboarding of ShopMart, one of Central Asia's leading e-commerce platforms offering a wide range of quality global and local brands across retail, services, and experiences, for Mining Corp. This launch was especially impactful, covering a location where 80% of Mining Corp employees are based, addressing a need that had remained uncovered until now. Working together, we delivered a Q4 launch, demonstrating dedication, coordination, and client-focused execution. This success wouldn't have been possible without our joint effort.",Shoppy Mongolia Launch,Senior Category Management Specialist,Gift Cards Coordinator
"Anton this award is somewhat overdue. I wanted to take a minute to thank you for all of the support you have been showing Denis during his onboarding. You have helped ensure that his transition into Branding was as seamless as possible. I know how much he has valued being able to reach out to you as needed, and the clear swift help you've provided. Thank you for that. But I also need to thank you for something else. Anton your contribution over the years to the Branding team has been outstanding. I am not sure people understand exactly how much help you have been to us and our customers. The noted uptick in quality from when you joined our team - way back - was and is so impressive. Your exacting eye for detail, your attitude, your teamwork, your good humour and your friendly style, has been such a boost for the team. We are sad to see you move on to another team, but thrilled that you are still only a click away on Slack. A massive thank you Anton for all that you contributed to Branding over the years. You're a big part of why the Branding team has gone from strength to strength. Your ongoing support with Denis shows how much you care about Branding too. So, thank you Anton. On behalf of Val, Aidan, Cliona and myself - not to mention Denis, Lucas and Laura - thank you and great job! Take a bow.",Thank you for everything Ihar!,Software Engineer,"Senior Manager, Product Design"
"Hi Jake, I just wanted to say thank you for giving me a hand, actually, for taking on the automation yourself when it went over my head. The previous automation message was quite generic and didn't provide much context whenever a change was made to the page. It also caused confusion because a message was sent even when something was removed, showing as an update. I really appreciate the effort and thought you put into this small change. It will make a meaningful difference for our team.",Confluence automation,Customer Service Technical Specialist,"Team Leader, Customer Service Operations"
"Before this year ends, I want to thank you both — Sarah and Emma — for always taking the time to explain things and support me throughout my (almost) first six months with TechFlow Solutions. Even though you're not part of my team, it truly feels like you are, especially when we work together on weekends. I really appreciate your patience, guidance, and kindness.",A big thank you!,Senior Customer Service Executive,Customer Service Executive
"Hi ladies, I want to say a huge thank you for all your help throughout the year. Your willingness to share your knowledge and your thoughtful curation of the collections have been truly incredible. You each play a significant role in the success of our promotions, and I deeply appreciate your hard work, dedication, and collaboration in sharing the collections in advance so we can source the best promotions for our end users. Thank you for everything you do.",With Gratitude for an Incredible Team,E-Commerce Promotional Merchandising Specialist,eCommerce Coordinator
"Marcus! Our cultural energizer who is always celebrating others and planning special gatherings, and we missed YOUR birthday!! Hope it was a fab extra long weekend with Rachel and the kids. Loved the extensive in-person time we had last week in the office and celebrating in Riverside! What an unforgettable weekend :) Thanks for all you do for all of us and cheers to you on your birthday week!",Happy Belated Birthday Marcus!,"VP, Global Category Management","SVP, E-Commerce"
Happy Birthday Maya! Hope you have a great day!,Happy Birthday!,Software Support Engineer III,"Associate Manager, Engineering"
"Alex and Jordan, I wanted to take a moment to thank you both for your proactive support when the customer reached out looking to send a nomination as a delegate via mobile. Since this information wasn't available anywhere, you both took the initiative to add one another as delegates and test the process yourselves to ensure we could provide the customer with accurate guidance and confirm there were no issues on their side. Your dedication, quick thinking, and commitment to getting the right answer truly stand out. This recognition is long overdue, but very much deserved. Thank you both — I really appreciate your support.",Thank You for Your Proactive Support!,"Team Leader, Customer Service Operations",Senior Customer Service Executive
"Hi Alex, I just wanted to take a moment to thank you for going above and beyond in helping me understand the discrepancy on my payslip. I really appreciate the time you took to walk me through the details, open a ticket for clarification, follow up on a resolution, and keep me updated throughout the process. Your support made a big difference, and I'm truly grateful for your dedication and responsiveness. Thanks again for all your help!","Appreciation for Your Outstanding Support, Alex!","Team Lead, Customer Service Operations",Senior Customer Service Executive
"Hey team, I just want to say a big thank you for all the effort over the past week, tackling challenges like Thanksgiving, Black Friday, and now Cyber Week. Volumes have been steady, even leaning toward an increase, but you all stood your ground, making sure customers have a great experience with minimal complaints and showing a positive attitude throughout. I truly appreciate everything you've done so far and all the effort you'll continue to put in over the coming weeks. Thanks again for everything you're doing, both individually and as a team!",AllStars! ⭐,Customer Service Executive,"Team Leader, Customer Service Operations"
"Thank you all for your collaboration and persistence in bringing the MegaMart digital gift card live in Singapore. Transitioning our largest gift card in the market to digital is a significant achievement. We're seeing substantial shipping savings, eliminating long lead times, reducing customer service issues, and delivering a much-improved customer experience. With Singapore now nearly 100% digital, this is a true win–win for the market and for our clients. It also further strengthens our partnership with one of our key suppliers. Great work and thank you again for the collective effort that made this possible 🙌",A Significant Win - MegaMart Goes Digital in Singapore!,E-Commerce Site Merchandising Specialist,Senior Category Management Specialist
"Hi Sofia, Thank you so much for the first-hand update on the new gift card additions to our store. We genuinely weren't aware that ShopCenter and Plaza Village gift cards were being launched, so your heads-up was incredibly helpful — not just for us in Customer Service, but for us as users too. A big thank-you as well for being my point of contact in the eCommerce team, and for the insights, updates, and collaboration with Customer Service to ensure we deliver the best possible experience to our end users. The team was delighted with the information. Thanks again for keeping us in the loop!",Thank You for the Collaboration!,eCommerce Coordinator,Senior Customer Service Executive
thanks for helping me triage a potential component library single-select focus issue based on your experience of fixing this for Android.,Component single select focus issue,Software Engineer I,Senior Accessibility Engineer
"I just wanted to take a moment to thank you for your continued partnership and support. I truly appreciate your willingness to discuss escalation cases with me, review emails, and collaborate on the best approach and communication with our customers. This dedication extends beyond escalated cases to our day-to-day work as well. I'm grateful to work alongside you as desk-neighbours and deliver top-notch customer service together. Thank you for always being approachable, collaborative, and committed — it really makes a difference!",Seniors at It Best!,Customer Service Executive,Senior Customer Service Executive
"Riley/Sam, in the last few months you both moved from Team Phoenix to Team Velocity and temporarily back again. You were both excited moving across to Team Velocity and brought your skill and enthusiasm. You had an instant impact on spend work on the front end, testing, accessibility and more on our Budget Management App. Now though we have shifted to help the highly important media work with Team Phoenix. I for sure know that such change can be difficult but the character and personality you have shown has been remarkable. The respect for teamwork you have shown and help you share to colleagues is fantastic. Thanks for everything you do and the support you offer with such a positive attitude. Truly I appreciate it!!",Phoenix to Accolades,Software Engineer,Product Manager
"Legends, I want to take a moment to thank each of you for your incredible hard work over the Thanksgiving and Black Friday period. I know how demanding this season is, and you've shown exceptional dedication, patience, and teamwork through every challenge. As we head into an even busier stretch, please know how much your efforts are seen and deeply appreciated. You continue to set the standard for what great customer service looks like, and I'm truly grateful for the positivity and professionalism you all bring every day. Thank you my dears for everything you do!",Thanksgiving & Black Friday Support,Customer Service Executive,"Team Lead, Customer Service Operations"
"Team, I want to take a moment to recognize the incredible effort you've put in over the Thanksgiving weekend. With Black Friday and Cyber Monday kicking off our Q4 peak, this is always one of the most demanding times of the year. Year after year, you rise to the challenge—tackling obstacles head-on and keeping our customers' experience at the heart of everything you do. Your commitment and hard work during this busy period don't go unnoticed, and I truly appreciate each and every one of you. Thank you for being outstanding—you really make the difference!",Wonderful Support,"Associate Manager, Customer Service Operations","Senior Manager, Customer Service Operations"
Thanks Taylor for all your support working together on the annual review system. It has been great working with you closely on the designs.,Amazing Accessibility Support,Product Designer,Senior Accessibility Engineer
"Chris, I wanted to take a moment to thank you for being such an amazing, supportive partner during our AI course. You are the reason I enrolled, and having you there by my side week after week has been a huge help. It's been so important to have someone to bounce ideas and worries off of, especially someone with your wisdom and strong critical thinking. Your kindness and cheerleader-ness made a world of difference 😄 Congrats on your paper, I'm sure you're gonna ACE it, and now that's all finished, we can have a well-earned break – at least until the next course comes along? 👀😝",Done and Dusted 💅,Senior Product Designer,Senior Product Designer
"Team, I want to recognise the incredible perseverance and energy you've all shown as we approach this critical two-week period before DataTech & Solutions' go-live in the production sandbox. It's been a journey full of unknowns and unexpected challenges, each one testing us in different ways but at every turn, you've stepped up, adapted, and kept moving forward. The progress we've made together has been amazing, and it's genuinely exciting to see everything coming together across both the Accessibility Enhancement and New Team Dashboard project. None of this would be possible without the consistent effort, resilience, and positive, can do mindset each of you brings to the table every day. Thank you for continuing to push the needle on what's possible, for supporting one another, and for maintaining such strong momentum. I'm proud of everything we've achieved so far, and even more proud of how we've done it, as one team, focused, determined, and committed to success.","Momentum, Grit, and Matrix Magic",Senior Product Designer,"Senior Manager, Engineering"
Thank you Morgan for covering the compliance review tasks while I was OOO last week! A huge amount of progress was made on them from your individual and detailed follow ups to all participants (approx 100 people at this stage 😱) so I can't thank you enough for all your help keeping the train running! You're a star ✨,Review The Best!,IT Security Analyst,Associate IT Security Engineer
Thank you Casey for putting together a comprehensive accessibility design pattern document on landmarks.,A11y Landmarks Design Patterns,Principal Product Designer,Senior Accessibility Engineer
thank you Jamie for your help with the branding questions I had around the annual review system banner and side nav,Annual review banner branding questions,Senior Product Designer,Senior Accessibility Engineer
"Hi all,   Just wanted take a moment to say thank for month-end prep and working through an unusual busy Friday. In the spirit of Murphy's law we had some connection issues in the morning between our ERP system, ShipFast and the printer. We had a bit of a delayed start but once it settled everyone got stuck in to ensure the deadlines were met by our 3pm cut off point with month-end. Thank you all for your patience and good sense of urgency to ensure we have everything done between our physical and digital shipping.",Thank you!,Supply Chain Associate,Supply Chain Specialist
"Thank you both so much for stepping in and making sure everything was covered yesterday while I was out, no hesitation, as always. It's not the first time you've stepped up when I needed support, and I truly appreciate knowing you've got my back. Having a team like this makes the tough days so much easier ❤️",I appreciate you 🫶🏻,"Team Leader, Customer Service Operations","Associate Manager, Customer Service Operations"
Well done Marcus for automating the long standing corporate spend guidance reports. These were some of the last manual reports left with us so it's fantastic to finally have them automated and handed over to the business operations team. Thanks for taking this on and seeing it seeing it through.,Corporate Reports,Data Infrastructure Engineer Intern,"Associate Manager, Infrastructure"
"Tyler, thank you for your speedy response and resolution to my ticket management system request. I had accidentally deleted a file I needed for a weekly report. You quickly resolved the issue and saved my day! Thanks so much!",Saving the day!,Senior Systems Engineer,Senior Customer Insight Analyst
"Hey Team,   I want to take a moment to thank each of you for your incredible hard work over the Thanksgiving and Black Friday period. I know how demanding this season is, and you've shown exceptional dedication, patience, and teamwork through every challenge.  As we head into an even busier stretch, please know how much your efforts are seen and deeply appreciated. You continue to set the standard for what great customer service looks like, and I'm truly grateful for the positivity and professionalism you bring every day.",Well Done Team!!!,Customer Service Executive,"Team Leader, Customer Service Operations"
"Hi Emma, I just wanted to take a moment to send a huge thank you for everything you've done with the Vendor Management Project. Your incredible organization and leadership in keeping everything on track have been invaluable to all of us. From coordinating the various teams to ensuring the project ran smoothly, your efforts have truly made a lasting impact!  As you step into this exciting new chapter of your life, I want to wish you all the best with everything! This is such a special time, and I hope you enjoy every moment of it. Wishing you loads of happiness and a smooth journey ahead as you embark on this wonderful new adventure!",Thank you for everything and Best Wishes!!,Senior Project Manager- BOS,Senior Accounts Payable Specialist
"Thanks Ryan for your  proactive monitoring during the Cyber Monday  period. Your quick decision to increase the server capacity played a crucial role in ensuring system stability during one of our most demanding times.  Thank you as well for going above and beyond by continuing to monitor the system after office hours. Your dedication, attention to detail, and ownership truly made a difference and helped us avoid potential issues before they impact our users during Cyber Monday. Thanks  a million again.",Pro-active Monitoring,Senior Data Infrastructure Engineer,Senior Data Infrastructure Engineer
Thanks a million for supporting our recruitment recently for our newest software engineer. Really appreciate you making time for all the meetings and interviews that go with being on an interview panel and for getting a great result and a new recruit for Phoenix Systems! Thank you!,Engineering Interview Panel,Principal Engineer,"Senior Manager, Engineering"
"David, thank you for your partnership and the calming, thoughtful technical leadership you've brought to Phoenix and Vector. It has been (and continues to be) a real pleasure collaborating with you and feeling genuinely supported throughout our work together. Your steady approach, deep technical insight, and ability to bring clarity to complex challenges consistently strengthen our squads and help guide us in the right direction. Thank you for creating space for others to contribute while still providing strong, reliable leadership, it makes an enormous difference to how we operate as a team. I certainly appreciate everything you do to support the teams and me personally. I'm truly looking forward to the successes still ahead of us, and to tackling whatever challenges come our way. With the right people working together in harmony and mutual respect, I genuinely believe there's no limit to what we can achieve",Harmonious success,Principal Engineer,"Senior Manager, Engineering"
"I want to take a moment to thank each of you for your hard work over the Thanksgiving and Black Friday period. I know how demanding this season is, and you've shown exceptional dedication, patience, and teamwork through every challenge. As we head into an even busier stretch, please know how much your efforts are seen and deeply appreciated. You continue to set the standard for what great customer service looks like, and I'm truly grateful for the positivity and professionalism you bring every day. Thank you for everything you do!","Thanksgiving, Black Friday & Cyber Monday!",Customer Service Executive,"Team Leader, Customer Service Operations"
"Alex, I want to take a moment to recognize the outstanding work you put into organizing and executing Security Week in November. What you accomplished was truly impressive - you coordinated a complex, multi-month effort that required careful planning with our vendor partner SecureTech, ensuring all our teams were prepared and ready to participate, and managing all the logistics throughout the week itself, right down to keeping everyone fueled with doughnuts and pizzas. The results speak for themselves: over 2,500 security issues resolved during the week. That's a tremendous achievement that significantly strengthens our security posture, and it's a direct result of your dedication and attention to detail in making this event a success. What often goes unseen is all the work you did behind the scenes throughout the week - ensuring teams could get impediments cleared quickly and efficiently so they could maintain momentum and keep making progress. That kind of responsive support was critical to achieving the results we saw. What's equally impressive is that you're not resting on these results. You're already looking ahead, planning what we need to do to build on this momentum and have our teams ready for January 1st when we take the next step in improving our security posture. Your work on Security Week exemplifies the kind of initiative, organizational skill, and commitment to excellence that makes a real difference for our platform and our organization. Thank you for your exceptional effort and leadership on this initiative.",Security Preview of Excellence,Release Manager,"Director, Engineering"
"I want to take a moment to thank each of you for your incredible hard work over the Thanksgiving and Black Friday period. I know how demanding this season is, and now we have MegaStore added to the mix 🙈 You have  shown exceptional dedication, patience, and teamwork through every challenge!   As we head into an even busier stretch, please know how much your efforts are seen and deeply appreciated. I'm truly grateful for the positivity and professionalism you bring every day.  Thank you for everything you do!",Giving thanks,Customer Service Coordinator - Merchandise,"Associate Manager, Customer Service Operations"
"I want to take a moment to thank each of you for your incredible hard work over the Thanksgiving and Black Friday period. I know how demanding this season is, and you've shown exceptional dedication, patience, and teamwork through every challenge.  As we head into an even busier stretch, please know how much your efforts are seen and deeply appreciated. You continue to set the standard for what great customer service looks like, and I'm truly grateful for the positivity and professionalism you bring every day.  Thank you for everything you do!",Giving thanks,Customer Service Executive,"Associate Manager, Customer Service Operations"
"Team, I just wanted to thank you all for the hard work and diligence over this thanksgiving weekend. We had Black Friday , and cyber Monday thrown in for good measure and it is the start of our busy Q4 peak. Every year we get to this point and with all the challenges you face, you embrace them and face them head on, ensuring our customers experience is at the forefront of every interaction. I really appreciate you all,  and the hard work you do over this busy period. Thank you so much Champions, you're simply the best!!",Q4 Peak,Senior Customer Service Executive,"Associate Manager, Customer Service Operations"
"Thank you all for successfully delivering the Budget Management 2.0 fix for TechCorp. This work is a strong example of team excellence under urgency. From Product raising the issue early and preparing requirements quickly, to the team adapting, switching context, implementing the solution, and completing intensive testing, every step showed real ownership and quality.  After identifying the root cause of the performance failures in the Org Budget Amount calculations, you delivered a clean, effective fix: removing the org-level feed, updating the backend to return direct-manager data, and ensuring the UI remained seamless.  Releasing this work on such a tight timeline was critical, it unblocked TechCorp from increasing their budget allocations, protected millions in customer value, kept our Q4 commitments on track, and demonstrated exceptional adaptability during a high-stakes escalation.  Your collaboration and dedication throughout this effort, while reprioritizing during Security Week and navigating the code freeze, was outstanding.  Great work all!!",Budget Management 2.0 Fix Delivered for TechCorp,Product Manager,"Manager, Engineering"
"Thank you for the collaboration on the Wellness creative! The Client Engagement and Customer Excellence teams had a lot of positive feedback on the collection mock-ups. The Q4 period is always a juggling act, so I wanted to say that I appreciate you and the help on this during this busy time.",Wellness Creative Wizards,Project Manager - E-Commerce,Senior E-Commerce Promotional Merchandising Specialist
"Thank you both for your support on the most recent GlobalTech review. We were tasked with sharing successes of their current program while also trying to help them understand the need to add Monetary recognition in the near future. Sarah, thank you so much for all of your help with the prep. You supported me in ensuring that we were sharing the correct information with the team to help drive home the need for monetary recognition. You also presented a very clear outline of the benefits GlobalTech would expect should they add monetary in the future, along with the drawbacks if they did not. James, it was so great to have you on the call to meet the team and thank you for sharing the opportunities GlobalTech has to increase reach/frequency with their program as is today. This was an important piece of the conversation because it helped show GlobalTech that we can still support them regardless of their program structure looks like. In the end this review helped GlobalTech to feel very supported as a client and gave them a lot to think about for 2026!",GlobalTech Account Review,Senior Consultant,Customer Success Manager
"Thank you all so much for your support on IndustryCorp's most recent account review. I was nervous how interactive the IndustryCorp team would be but we were able to get them to open up and share many helpful insights to help us continue to grow the program. Lisa, Thank you for the countless hours you spent with me in prep meetings to ensure we were sharing the right message for the team. James, Thank you for also joining review calls to ensure the deck made sense and for taking time out of your day join the call. Robert, thank you for leading the discussion regarding IndustryCorp's plans for 2026 and getting an overview on 2025. This really helped to set the meeting up for success and ensured that we know how to continue to help support the team.",IndustryCorp Account Review,"Director, Consulting",Customer Success Manager
"I'd love to recognise Jessica for being an exceptional onboarding buddy over the past month (and ongoing). From day one, she has made me feel comfortable, welcome, and truly part of both the team and the wider org.   What blows me away is that she's done all of this while just returning from maternity leave herself. Despite juggling so much, she has still carved out time to meet with me daily—walking me through tasks, sharing honest insights from the launch consulting role, and making sure I haven't felt lost or out of sorts. She is an incredibly patient and attentive teammate and brings so much warmth to every interaction.  I really appreciate her attention to detail and a prime example of this is her creating a personalised onboarding plan paired with a task management checklist which I admit, gives me an unreasonable amount of joy each time I complete a task. And thanks to her nudge, I've already started building a network of cross-functional peers - which have been some of my favorite chats so far.  When my son Oliver was sick and I needed to work from home, Jessica's understanding and reassurance made the world of difference. She removed the anxiety before it could settle in, and I can't tell you how much that support means to me as a new joiner and mum.  It's also been so lovely getting to know her on a personal level—our shared love of food (clearly a theme on the launch consultant team), the kids connection, the outdoors, our siblings… the list keeps growing. I know we're going to share many more laughs and ""omg me too!"" moments.  Thank you, Jessica, for your generosity, guidance, and the care you put into everything. I'm so, so happy to be your teammate.",Incredible Influence,Consultant,Consultant
"Nathan,  thank you for your partnership and collaboration on all things Phoenix & Vector over the past year. It's been and continues to be an absolute pleasure working with you! tackling the daily challenges that come our way head on as a team, and consistently sharing a clear vision for how things should be done. Your calm, can do mindset and deep product knowledge perfectly complement your drive to succeed and to help us achieve our collective goals as a development and leadership team. Thank you for bringing your authentic self to work every day, and for everything you do to support the team and me. I'm genuinely looking forward to many more successes ahead, and to navigating whatever challenges come our way, I believe with the right team working together in harmony and respectfully there's no limit to what we can achieve!",No mountain too big!,Product Manager,"Senior Manager, Engineering"
"Alex- I can't thank you enough for your support over the last month, during my Mid Market interview process. You've been such an incredible mentor, from offering great advice, chorus calls to review, sharing great tips, helping me prep, you've been such an incredible help and really set me up for success during the process and now in the role. You were always open to jumping on a call to idea share and give me feedback and I'm so thankful for what I've been able to learn from you and what I'll continue to learn from you on the team! Your ongoing support helped me feel even more prepared and confident and I can't wait to continue working together!! Thanks so much for always being a team player and sharing your best practices!!",Team work makes the dream work!,Mid-Market Sales Executive,Mid-Market Sales Executive
"Marcus, a long overdue recognition for your leadership and being the glue that holds everything on the frontend/UI together. At present it's specifically the high priority Team Dashboard accessibility and relaunch for Phoenix Corp.  It always gives me great confidence working with you on a project knowing you're seeing the bigger picture, thinking ahead and staying on top of everything that needs to happen all whilst maintaining a high throughput, attention to details and making consistent progress towards our delivery goals. Thank you for all you do for your team!",Leading from the front...end,Senior Software Engineer,"Senior Manager, Engineering"
"Sam, thank you for structuring and rolling out Nexus's new and improved release process. The team were really struggling to get things moving quick enough with the old clunky release process that had well and truly gone beyond it's usefulness. Of course to add to the challenge it was necessary to make the switch during a busy period with lots of priority work being rolled out and worked on in parallel. Thank you for your leadership and proactively supporting any challenges faced to ensure the team, the process and the releases transitioned smoothly and successfully.",Releasing the knowledge,Senior Software Engineer,"Senior Manager, Engineering"
